title,year,genres,languages,runtimes,rating,votes,director,writers,cast,composers,plot,plot_outline,cover_url,full_size_cover_url,box_office
Deadpool,2016,Action|Adventure|Comedy|Sci-Fi,English,108,8.0,861440,Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer, Stefan Kapicic, Brianna Hildebrand, Style Dayne, Kyle Cassie, Taylor Hickson, Ayzee, Naika Toussaint, Randal Reeder, T.J. Miller, Isaac C. Singleton Jr., Morena Baccarin, Justyn Shippelt, Donna Yamamoto, Jed Rees, Hugh Scott, Gina Carano, Cindy Piper, Em Haine, Aatash Amir, Chad Riley, Paul Belsito, Darcey Johnson, Leslie Uggams, Kyle Rideout, Jason William Day, Stan Lee, Ben Wilkinson, Rachel Sheen, Paul Lazenby, Rob Hayter, Kayla Adams, Brad Archie, Colleen Bradford, Heather Ashley Chase, Fabiola Colmenero, Victoria De Mare, John Dryden, Jesse Michael Fullington, David Hardware, Matthew Hoglie, Tony Chris Kazoleas, Greg LaSalle, Rob Liefeld, David Longworth, Michael Neumeyer, Sean Quan, Anthony J Sacco, David Santana, Olesia Shewchuk, Bronwyne Sloley, Dan Zachary",Junkie XL,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.::Bill Smith","This is the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"Opening Weekend United States - $132,434,639, 14 Feb 2016, Cumulative Worldwide Gross - $783,112,979, Budget - $58,000,000 (estimated)"
Inception,2010,Action|Adventure|Sci-Fi|Thriller,"English, Japanese, French",148,8.8,1931251,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune, Yuji Okumoto, Earl Cameron, Ryan Hayward, Miranda Nolan, Russ Fega, Tim Kelleher, Talulah Riley, Nicolas Clerc, Coralie Dedykere, Silvie Laguna, Virgile Bramly, Jean-Michel Dagory, Helena Cullinan, Mark Fleischmann, Shelley Lang, Adam Cole, Jack Murray, Kraig Thornber, Angela Nathenson, Natasha Beaumont, Marc Raducci, Carl Gilliard, Jill Maddrell, Alex Lombard, Nicole Pulliam, Peter Basham, Michael Gaston, Felix Scott, Andrew Pleavin, Lisa Reynolds, Jason Tendell, Jack Gilroy, Shannon Welles, Michael August, Ken Bahn, Hélène Cardona, John Ceallach, Jack Conte, Garvin Cross, James Currie, Youlanda Davis, Julie Eagleton, Seve Esposito, Marcus Everett, Zachary Christopher Fay, Daniel Girondeaud, Natalie Goldwin, Andrew Hoagland, Guy Iannacone, Marguerite Gioia Insolia, Charles Jarrell, Seong-hwan Jo, Alonzo F. Jones, Mobin Khan, Shunsaku Kudô, Leticia LaBelle, John Lawson, Jean-Christophe Leger, Arnold Montey, François-Marie Nivon, Scott Pretty, Steven Quale, Benjamin Riley, Norman Saleet, Colin Smith, Affan Tareen",Hans Zimmer,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.::ahmetkozan,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg,"Budget - $160,000,000 (estimated), Opening Weekend United States - $62,785,337, 18 Jul 2010, Cumulative Worldwide Gross - $825,532,764, 06 Jan 2011"
Interstellar,2014,Adventure|Drama|Sci-Fi,English,169,8.6,1384235,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Anne Hathaway, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck, Leah Cairns, Jessica Chastain, William Dickinson, Topher Grace, Matt Damon, Flora Nolan, Griffen Fraser, Jeff Hephner, Lena Georgas, Elyes Gabel, Brooke Smith, Russ Fega, William Patrick Brown, Cici Leah Campbell, Mark Casimir Dyniewicz Jr., Troy Fyhn, Benjamin Hardy, Alexander Michael Helisek, Ryan Irving, Alexander Lu, Derek McEntire, Joseph Oliveira, Benjamin Pitz, Marlon Sanders, Bryan Stamp, Kristian Van der Heyden, Kevan Weber",Hans Zimmer,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.::Anonymous,"Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life.","https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"Cumulative Worldwide Gross - $675,020,017, Opening Weekend United States - $47,510,360, 05 Nov 2014, Budget - $165,000,000 (estimated)"
The Matrix,1999,Action|Sci-Fi,English,136,8.7,1584764,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt, Eleanor Witt, Tamara Brown, Janaya Pender, Adryn White, Natalie Tjen, Bill Young, David O'Connor, Jeremy Ball, Fiona Johnson, Harry Lawrence, Steve Dodd, Luke Quinton, Lawrence Woodward, Michael Butcher, Bernard Ledger, Robert Simper, Chris Pattinson, Nigel Harbach, Mike Duncan, Nash Edgerton, Rana Morrison, Steve Rutherford",Don Davis,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.::Kenneth Chisholm,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion.","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"Budget - $63,000,000 (estimated), Opening Weekend United States - $27,788,331, 04 Apr 1999, Cumulative Worldwide Gross - $463,517,383"
Avatar,2009,Action|Adventure|Fantasy|Sci-Fi,"English, Spanish",162,7.8,1081245,James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso, Dileep Rao, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy, Peter Dillon, Kevin Dorman, Kelson Henderson, David Van Horn, Jacob Tomuri, Michael Blain-Rozgay, Jon Curry, Julene Renee, Luke Hawker, Woody Schultz, Peter Mensah, Sonia Yee, Jahnel Curfman, Ilram Choi, Kyla Warren, Lisa Roumain, Debra Wilson, Taylor Kibby, Jodie Landau, Chris Mala, Julie Lamm, Cullen B. Madden, Joseph Brady Madden, Frankie Torres, Austin Wilson, Sara Wilson, Tamica Washington-Miller, Lucy Briant, Nathan Meister, Gerry Blair, Matthew Chamberlain, Paul Yates, Wray Wilson, James Gaylyn, Melvin Leno Clark III, Carvon Futrell, Brandon Jelkes, Micah Moch, Hanniyah Muhammad, Christopher Nolen, Christa Oliver, April Marie Thomas, Bravita A. Threatt, Lasco Atkins, Eoin Bates, Colin Bleasdale, Mike Bodnar, Robert Catto, Matt Clayton, Hamish Denston, Nicole Dionne, Mia Dodson, Joshua Farcone, Jamie Harrison, Allan Henry, Jessica J. Immanuel, Anthony Ingruber, Ashley Jeffery, Dean Knowsley, Tim Mansell, Wiebe Marinus, Joseph Mika-Hunt, Terry Notary, Ken Ohara, Kai Pantano, Logan Pithyou, Luis G. Portillo, Raja, Gareth Ruck, David Sampen, Rhian Sheehan, Tim Simpson, T.J. Storm, Jodie Taylor, Alicia Vela-Bailey, Richard Whiteside, Nikie Zambo",James Horner,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers knowledge, of the Indigenous Race and their Culture, for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora.","https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@.jpg,"Opening Weekend United States - $77,025,481, 20 Dec 2009, Budget - $237,000,000 (estimated), Cumulative Worldwide Gross - $2,789,679,794, 21 Jul 2019"
Fantastic Beasts and Where to Find Them,2016,Adventure|Family|Fantasy,"English, Khmer",132,7.3,386341,David Yates,J.K. Rowling,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck, Tristan Tait, Colin Farrell, Tom Clarke Hill, Matthew Sim, Katherine Waterston, Samantha Morton, Dan Fogler, Ezra Miller, Faith Wood-Blagrove, Jenn Murray, Cory Peterson, Lucie Pohl, Peter Breitmayer, Jake Samuels, Max Cazier, Dan Hedaya, Christy Meyer, Carmen Ejogo, Guy Paul, Andreea Paduraru, Walles Hamonde, Dominique Tipper, Kevin Guthrie, Leo Heller, Miles Roughley, Anne Wittman, Erick Hayden, Paul Birchard, Ronan Raftery, Tom Hodgkins, Jon Voight, Josh Cowdery, Ellie Haddington, Alison Sudol, Joseph Macnab, Bart Edwards, Todd Boyce, Martin Oelbermann, Gemma Chan, Richard Clothier, Christian Dixon, Akin Gazi, Rich Hardesty, Elizabeth Moynihan, Miquel Brown, Wunmi Mosaku, Cristian Solimeno, Matthew Wilson, Brian F. Mulvey, Aretha Ayeh, Emmi, Ron Perlman, Nicholas McGaughey, Sean Cronin, Zoë Kravitz, Arinzé Kene, Jane Perry, Johnny Depp, Bash Dinsmore, Abi Adeyemi, Andrea Allan, Reid Anderson, Uchenna Aniedu, Aileen Archer, Robert-Anthony Artlett, Stephanie Aspin, Lee Asquith-Coe, Lasco Atkins, Lidia Ballhatchet, Michael Barron, Roy Beck, Marc Benanti, Nathan Benham, Paul Bergquist, Laura Bernardeschi, Helen Birdno, David J Biscoe, Ellie Blackwell, Lee Bolton, Annarie Boor, Martin Bratanov, Neil Broome, Greg Brummel, Chloe de Burgh, Douglas Byrne, Fanny Carbonnel, Patrick Carney Junior, David Charles-Cully, Georgia Clarke-Day, Stacey Clegg, Eric Coco, Clive Coen, Maurisa Selene Coleman, Bern Collaço, Anthony Collier, Chloe Collingwood, Claire Cooper-King, Armin Coralic, Carmen Cowell, Silvia Crastan, Tom Dab, Craig Davies, Nick Davison, Michael Deighton, Paul Dewdney, Rudi Dharmalingam, Joshua Diffley, Nick Donald, Richard Douglas, Henry Douthwaite, Terence Drew, Michael Thomas Duggan, Shelly Dulieu, Chris Eccles, Stephanie Eccles, Linda Ekman, Ramzy El Huraiby, Thomas Eros, Karl Farrer, Dino Fazzani, Flor Ferraco, Marketa Flynn, Mary Fogg, Lobna Futers, Michael Gabbitas, Salo Gardner, Fatah Ghedi, Leigh Gill, David Goodson, Diana Govina, Kirsty Grace, Rudy Valentino Grant, Charlene Griffith, Chris Groundsell, Yordanka Gugusheva, Guna Gultniece, Tao Guo, Lae Gutierrez, Natalie Harrison, Rosemarie Harrison, Robin Harvey, Gayle Hilton, Hugh Holman, Abigayle Honeywill, Luke Hope, Ruth Horrocks, Kornelia Horvath, Finley Howard, Ashley Hudson, Alan Wyn Hughes, Alex Jaep, Ian Jenkins, Bryn Jones, Lampros Kalfuntzos, Jagoda Kamov, Gjevat Kelmendi, Attila G. Kerekes, Simon Kerrison, Denis Khoroshko, Cinta Laura Kiehl, Jefferson King, Joelle Koissi, Cristian Lazar, Adam Lazarus, Cole Leman, Kamil Lemieszewski, Jorge Leon Martinez, Mickey Lewis, Adam Lezemore, Dom Lister, Keith Lomas, Paul Low-Hang, Clive Lyons, Khristopher MacLeod, Jim Maidment, Joe Malone, Anthony Maloney, Alan Mandel, Christopher Marsh, Benjamin Martin, Christine Marzano, Martyn Mayger, Robert McLanachan, Pete Meads, Andy Mihalache, Arnold Montey, James M.L. Muller, Paul A Munday, John Murray, Vadim Nicolaou, Irina Nour, Dennis O'Donnell, Yves O'Hara, Andrew G. Ogleby, Remi Osborne, Edd Osmond, Nick Owenford, Michael Owusu, Tony Pankhurst, Sascha Panknin, Andrew Parker, Rico Pass, Gino Picciano, James Pimenta, Antonio Piras, Daniel Ponomari, Richard Price, Justified Prince, Reece Putinas, Olivia Quinn, Paul Redfern, Jason Redshaw, Eddie Register, Tineke Ann Robson, Anthony Rogers, Peter Ryder, Bernardo Santos, Conor Short, Dave Simon, Judy Kendrick Simonsen, Daniel Smales, Scott Stevenson, Ryan Storey, Adam Broomfield Strawn, Connor Sullivan, Camilla Talarowska, Fran Targ, Jennifer Ellen Taylor, Mitch Thornton, Daniela Tlumacova, Dan Trotter, Vassiliki Tzanakou, Fabio Vassallo, Geeta Vij, Kevin Vose, Rob Vowles, Mahala Wallace, Morgan Walters, Tremayne Watson, Dean Weir, Tony Paul West, Anick Wiget, Chris Wilson, Kevin Winkley, Christie Wright, Ricky Zalman, Miroslav Zaruba, Dominic Zwemmer",James Newton Howard,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"In mid-20s New York, Newt Scamander, the British young activist wizard, arrives in town, holding a mysterious leather suitcase which shelters a wide array of diverse and magical creatures that exist among us. Amid an already fragile equilibrium of secrecy, and the increasing disasters ascribed to the dark wizard, Gellert Grindelwald, Newt's precious suitcase will be lost--and to make matters worse--several creatures will manage to escape. Before long, this situation will catch Senior Auror Percival Graves' attention who will target Newt, in the background of an invisible, devastating, and utterly unpredictable menace that still wreaks havoc on 5th Avenue. In the end, is there a hidden agenda behind Graves' intentions; moreover, what will happen to the remaining fantastic beasts still loose in the streets?","https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@.jpg,"Cumulative Worldwide Gross - $814,037,575, Budget - $180,000,000 (estimated)"
Passengers,2016,Drama|Romance|Sci-Fi|Thriller,"English, Spanish, Japanese, French",116,7.0,328388,Morten Tyldum,Jon Spaihts,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne, Andy Garcia, Vince Foster, Kara Flowers, Conor Brophy, Julee Cerda, Aurora Perrineau, Lauren Farmer, Emerald Mayne, Kristin Brock, Tom Ferrari, Quansae Rutledge, Desmond Reid, Emma Clarke, Chris Edgerly, Fred Melamed, Matt Corboy, Zeus Mendoza, Alpha Takahashi, Matthew Wolf, Jean-Michel Richaud, Jon Spaihts, Curtis Grecco, Joy Spears, Kimberly Battista, Nazanin Boniadi, Marie Burke, Lindsey Elizabeth, Ana Gray, Kenneth Jones, Inder Kumar, Stephen M. LaBar Jr., Ashley Lambert, Robert Larriviere, Andrew S. McMillan, Shelby Taylor Mullins, Jeff Olsen, Kelli Pardo, Kayla Radomski, Jamie Soricelli, Ivana Vitomir",Thomas Newman,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.::Sony Pictures Entertainment","The spaceship, Starship Avalon, in its 120-year voyage to a distant colony planet known as the ""Homestead Colony"" and transporting 5,258 people has a malfunction in one of its sleep chambers. As a result one hibernation pod opens prematurely and the one person that awakes, Jim Preston (Chris Pratt) is stranded on the spaceship, still 90 years from his destination.","https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"Cumulative Worldwide Gross - $303,144,152, Opening Weekend United States - $14,869,736, 25 Dec 2016, Budget - $110,000,000 (estimated)"
John Wick,2014,Action|Crime|Thriller,"English, Russian, Hungarian",101,7.4,498883,"Chad Stahelski, David Leitch",Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan, John Leguizamo, Ian McShane, Bridget Regan, Lance Reddick, Keith Jardine, Tait Fletcher, Kazy Tauginas, Alexander Frekey, Thomas Sadoski, Randall Duk Kim, David Patrick Kelly, Clarke Peters, Kevin Nash, Gameela Wright, Vladislav Koulikov, Munro M. Bonnell, Patricia Squire, Vladimir Troitsky, Stefan Ackermann, Joseph K. Bevilacqua, Carolyn Blair, William Andrew Brewer, Kenneth Carrella, Chris Chasey, Samantha Crawford, Gioianna DiGiorgio, Johnny DiGiorgio, David Douglas, Annoula Dritsas, Thayr Harris, Nadia Kay, Dennis Keiffer, Natalia Kiriya, Ilan Krigsfeld, Mack Kuhr, Luke Lesko, Erik Martin, Meghan Mazurczyk, Yana Milanberg, Julian Mileta, Roman Mitichyan, Inna Muratova, Karen Nazarov, Joseph Oliveira, Luc Owono, Matt Parker, Andrew Paterini, Charles Pendelton, Brian James Pepe, J.J. Perry, Jennifer Pientka, Elizabeth Saint, Lysane Sanchez, Courtney Sanello, George Schroeder, Paugh Shadow, DiFenni Shi, Marija Skangale, Polina Strelkova, Tuna Tekeli, Manolo Tenes, Scott Tixier, Uzimann, Arthur Vint, Sam Yazbeck, Zenon Zeleniuch, Alex Ziwak",Tyler Bates,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.::ahmetkozan,"With the untimely death of his beloved wife still bitter in his mouth, John Wick, the expert former assassin, receives one final gift from her--a precious keepsake to help John find a new meaning in life now that she is gone. But when the arrogant Russian mob prince, Iosef Tarasov, and his men pay Wick a rather unwelcome visit to rob him of his prized 1969 Mustang and his wife's present, the legendary hitman will be forced to unearth his meticulously concealed identity. Blind with revenge, John will immediately unleash a carefully orchestrated maelstrom of destruction against the sophisticated kingpin, Viggo Tarasov, and his family, who are fully aware of his lethal capacity. Now, only blood can quench the boogeyman's thirst for retribution.","https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_SX101_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@.jpg,"Cumulative Worldwide Gross - $130,888,901, Budget - $20,000,000 (estimated), Opening Weekend United States - $14,415,922, 13 Jan 2015"
Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi|Thriller,"English, Russian",120,8.1,824209,George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Zoë Kravitz, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee, Courtney Eaton, John Howard, Richard Carter, Iota, Angus Sampson, Jennifer Hagan, Megan Gale, Melissa Jaffer, Melita Jurisic, Gillian Jones, Joy Smithers, Antoinette Kellermann, Christina Koch, Jon Iles, Quentin Kenihan, Coco Jack Gillies, Chris Patton, Stephen Dunlevy, Richard Norton, Vincent Roxburgh, John Walton, Ben Smith-Petersen, Russ McCarroll, Judd Wild, Elizabeth Cunico, Greg van Borssum, Robert Jones, Sebastian Dickins, Darren Andrew Mitchell, Crusoe Kurddal, Shyan Tonga, Cass Cumerford, Albert Lee, Riley Paton, Ripley Voeten, Macyn Van Borssum, Hunter Stratton Boland, Nathan Jenkins, Fletcher Gill, Whiley Toll, Ferdinand Hengombe, Gadaffi Davsab, Noddy Alfred, Jackson Hengombe, Christian Fane, Callum Gallagher, Abel Hofflin, Lee Perry, Debra Ades, Toby Ayers, Rhavin Banda, Karl Heinz Barr, Alison Benstead, Craig Bourke, Nerida Bronwen, Will C., Hélène Cardona, Jeremy Costello, Sandi Finlay, Gareth Hamilton-Foster, Dawn Hogan, Georgia Jarrett, Hiroshi Kasuga, Jack Kelly, Ryan Madden, Shuhei Ogawa, Benjamin W Sullivan, Vanessa Summerfield, Yassica Switakowski, Leanne Michelle Watson",Junkie XL,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.::Matthew Trahan","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and almost everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR0,0,101,150_.jpg",https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"Budget - $150,000,000 (estimated), Cumulative Worldwide Gross - $378,436,354"
