"imdb","trakt_id","watched_at","title","year","slug"
"tt0077651","788","2020-01-29T22:21:29.000Z","b'Halloween'","1978","halloween-1978"
"tt0365559","11648","2020-01-29T22:19:16.000Z","b'Nirvana: Unplugged in New York'","1994","nirvana-unplugged-in-new-york-1994"
"tt0086541","680","2020-01-29T20:25:55.000Z","b'Videodrome'","1983","videodrome-1983"
"tt0787524","222432","2020-01-28T20:15:01.000Z","b'The Man Who Knew Infinity'","2016","the-man-who-knew-infinity-2016"
"tt0421073","880","2020-01-27T19:33:27.000Z","b'Street Kings'","2008","street-kings-2008"
"tt0120907","1317","2020-01-27T16:17:47.000Z","b'eXistenZ'","1999","existenz-1999"
"tt0162222","4149","2020-01-27T14:09:34.000Z","b'Cast Away'","2000","cast-away-2000"
"tt0134084","2483","2020-01-27T11:42:34.000Z","b'Scream 3'","2000","scream-3-2000"
"tt0120082","2482","2020-01-27T11:42:34.000Z","b'Scream 2'","1997","scream-2-1997"
"tt0117571","2481","2020-01-27T11:42:34.000Z","b'Scream'","1996","scream-1996"
"tt1311067","14507","2020-01-26T12:36:36.000Z","b'Halloween II'","2009","halloween-ii-2009"
"tt0373883","1431","2020-01-26T12:36:22.000Z","b'Halloween'","2007","halloween-2007"
"tt0467197","7608","2020-01-25T20:15:10.000Z","b'Max Payne'","2008","max-payne-2008"
"tt0087469","56","2020-01-20T22:16:07.000Z","b'Indiana Jones and the Temple of Doom'","1984","indiana-jones-and-the-temple-of-doom-1984"
"tt0126029","651","2020-01-20T22:15:29.000Z","b'Shrek'","2001","shrek-2001"
"tt0413099","1811","2020-01-20T22:09:06.000Z","b'Evan Almighty'","2007","evan-almighty-2007"
"tt0315327","261","2020-01-20T22:08:49.000Z","b'Bruce Almighty'","2003","bruce-almighty-2003"
"tt3393786","222913","2020-01-20T22:06:20.000Z","b'Jack Reacher: Never Go Back'","2016","jack-reacher-never-go-back-2016"
"tt0369339","998","2020-01-20T22:06:10.000Z","b'Collateral'","2004","collateral-2004"
"tt0325710","492","2020-01-20T22:04:49.000Z","b'The Last Samurai'","2003","the-last-samurai-2003"
"tt0227538","5277","2020-01-19T20:53:47.000Z","b'Spy Kids'","2001","spy-kids-2001"
"tt0287717","4772","2020-01-19T20:53:44.000Z","b'Spy Kids 2: The Island of Lost Dreams'","2002","spy-kids-2-the-island-of-lost-dreams-2002"
"tt0427392","2826","2020-01-19T19:22:29.000Z","b'The Invasion'","2007","the-invasion-2007"
"tt1457767","93164","2020-01-19T01:03:35.000Z","b'The Conjuring'","2013","the-conjuring-2013"
"tt6195094","323744","2020-01-18T23:23:16.000Z","b'Ghostland'","2018","ghostland-2018"
"tt1077258","1353","2020-01-18T21:35:10.000Z","b'Planet Terror'","2007","planet-terror-2007"
"tt5700182","393691","2020-01-16T19:57:55.000Z","b'Starfish'","2018","starfish-2018"
"tt6751668","343180","2020-01-16T16:45:59.000Z","b'Parasite'","2019","parasite-2019"
"tt0477080","29789","2020-01-14T20:15:00.000Z","b'Unstoppable'","2010","unstoppable-2010"
"tt0118971","1199","2020-01-12T19:10:33.000Z","b""The Devil's Advocate""","1997","the-devil-s-advocate-1997"
"tt4550098","221103","2020-01-12T15:32:26.000Z","b'Nocturnal Animals'","2016","nocturnal-animals-2016"
"tt2980736","83618","2020-01-09T17:47:27.000Z","b'Dragon Ball: Episode of Bardock'","2011","dragon-ball-episode-of-bardock-2011"
"tt0142232","11065","2020-01-09T17:46:59.000Z","b""Dragon Ball GT: A Hero's Legacy""","1997","dragon-ball-gt-a-hero-s-legacy-1997"
"tt1277953","59799","2020-01-08T22:36:40.000Z","b""Madagascar 3: Europe's Most Wanted""","2012","madagascar-3-europe-s-most-wanted-2012"
"tt7653254","339283","2020-01-08T20:17:56.000Z","b'Marriage Story'","2019","marriage-story-2019"
"tt5700672","239425","2020-01-07T20:20:50.000Z","b'Train to Busan'","2016","train-to-busan-2016"
"tt0289879","1323","2020-01-06T20:00:00.000Z","b'The Butterfly Effect'","2004","the-butterfly-effect-2004"
"tt8695030","387368","2020-01-05T20:22:04.000Z","b""The Dead Don't Die""","2019","the-dead-don-t-die-2019"
"tt1092026","25703","2020-01-05T09:53:15.000Z","b'Paul'","2011","paul-2011"
"tt0249462","42","2020-01-05T09:51:27.000Z","b'Billy Elliot'","2000","billy-elliot-2000"
"tt1979320","70421","2020-01-05T09:51:07.000Z","b'Rush'","2013","rush-2013"
"tt2592614","110398","2020-01-05T09:49:00.000Z","b'Resident Evil: The Final Chapter'","2016","resident-evil-the-final-chapter-2016"
"tt0367594","87","2020-01-05T09:47:58.000Z","b'Charlie and the Chocolate Factory'","2005","charlie-and-the-chocolate-factory-2005"
"tt1401152","33289","2020-01-05T09:45:47.000Z","b'Unknown'","2011","unknown-2011"
"tt0274166","4770","2020-01-05T09:45:27.000Z","b'Johnny English'","2003","johnny-english-2003"
"tt6921996","310488","2020-01-05T09:44:27.000Z","b'Johnny English Strikes Again'","2018","johnny-english-strikes-again-2018"
"tt0859163","1164","2020-01-05T09:44:00.000Z","b'The Mummy: Tomb of the Dragon Emperor'","2008","the-mummy-tomb-of-the-dragon-emperor-2008"
"tt0865556","1159","2020-01-05T09:44:00.000Z","b'The Forbidden Kingdom'","2008","the-forbidden-kingdom-2008"
"tt0342258","5252","2020-01-05T09:42:23.000Z","b'Unleashed'","2005","unleashed-2005"
"tt1509767","36942","2020-01-05T09:42:20.000Z","b'The Three Musketeers'","2011","the-three-musketeers-2011"
"tt1590193","242227","2020-01-05T09:41:13.000Z","b'The Commuter'","2018","the-commuter-2018"
"tt0096895","224","2020-01-05T09:40:39.000Z","b'Batman'","1989","batman-1989"
"tt0363771","329","2020-01-05T09:38:42.000Z","b'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe'","2005","the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005"
"tt3062074","150874","2020-01-05T09:36:36.000Z","b'Sharknado 2: The Second One'","2014","sharknado-2-the-second-one-2014"
"tt1959490","65316","2020-01-04T21:05:13.000Z","b'Noah'","2014","noah-2014"
"tt0337978","1028","2020-01-04T19:34:58.000Z","b'Live Free or Die Hard'","2007","live-free-or-die-hard-2007"
"tt6565702","200946","2020-01-03T22:23:07.000Z","b'Dark Phoenix'","2019","dark-phoenix-2019"
"tt1632708","35353","2020-01-03T22:13:23.000Z","b'Friends with Benefits'","2011","friends-with-benefits-2011"
"tt1560220","219433","2020-01-03T20:35:25.000Z","b'Zombieland: Double Tap'","2019","zombieland-double-tap-2019"
"tt5057140","238665","2020-01-03T17:16:55.000Z","b'Hold the Dark'","2018","hold-the-dark-2018"
"tt7131622","313464","2020-01-02T19:52:11.000Z","b'Once Upon a Time\xe2\x80\xa6 in Hollywood'","2019","once-upon-a-time-in-hollywood-2019"
"tt0800320","11558","2020-01-01T23:40:10.000Z","b'Clash of the Titans'","2010","clash-of-the-titans-2010"
"tt1568346","47598","2020-01-01T23:37:13.000Z","b'The Girl with the Dragon Tattoo'","2011","the-girl-with-the-dragon-tattoo-2011"
"tt1034303","8209","2020-01-01T23:37:13.000Z","b'Defiance'","2008","defiance-2008"
"tt1077368","44680","2020-01-01T23:35:13.000Z","b'Dark Shadows'","2012","dark-shadows-2012"
"tt0385752","1597","2020-01-01T23:35:13.000Z","b'The Golden Compass'","2007","the-golden-compass-2007"
"tt0113189","582","2020-01-01T23:34:30.000Z","b'GoldenEye'","1995","goldeneye-1995"
"tt0120347","586","2020-01-01T23:33:21.000Z","b'Tomorrow Never Dies'","1997","tomorrow-never-dies-1997"
"tt0143145","23290","2020-01-01T23:33:18.000Z","b'The World Is Not Enough'","1999","the-world-is-not-enough-1999"
"tt0381061","23217","2020-01-01T23:32:59.000Z","b'Casino Royale'","2006","casino-royale-2006"
"tt0375912","2819","2020-01-01T21:40:47.000Z","b'Layer Cake'","2004","layer-cake-2004"
"tt2719848","153969","2020-01-01T19:40:12.000Z","b'Everest'","2015","everest-2015"
"tt5669936","301861","2020-01-01T17:28:24.000Z","b'The Recall'","2017","the-recall-2017"
"tt2873282","254340","2019-12-30T10:16:43.000Z","b'Red Sparrow'","2018","red-sparrow-2018"
"tt4912910","222160","2019-12-29T21:18:22.000Z","b'Mission: Impossible - Fallout'","2018","mission-impossible-fallout-2018"
"tt3532216","217731","2019-12-29T19:22:47.000Z","b'American Made'","2017","american-made-2017"
"tt6146586","304278","2019-12-29T14:34:29.000Z","b'John Wick: Chapter 3 - Parabellum'","2019","john-wick-chapter-3-parabellum-2019"
"tt8328716","368959","2019-12-27T20:17:23.000Z","b'Doom: Annihilation'","2019","doom-annihilation-2019"
"tt1663202","179334","2019-12-26T21:49:51.000Z","b'The Revenant'","2015","the-revenant-2015"
"tt1270797","216715","2019-12-26T21:47:36.000Z","b'Venom'","2018","venom-2018"
"tt0307479","1452","2019-12-26T17:18:05.000Z","b'Solaris'","2002","solaris-2002"
"tt1098327","8480","2019-12-26T17:14:08.000Z","b'Dragonball Evolution'","2009","dragonball-evolution-2009"
"tt4986098","324153","2019-12-26T17:13:57.000Z","b'The Titan'","2018","the-titan-2018"
"tt0285492","348","2019-12-26T17:13:35.000Z","b'Cube 2: Hypercube'","2002","cube-2-hypercube-2002"
"tt0246894","6617","2019-12-26T17:13:13.000Z","b'Rollerball'","2002","rollerball-2002"
"tt0311429","4277","2019-12-26T17:12:38.000Z","b'The League of Extraordinary Gentlemen'","2003","the-league-of-extraordinary-gentlemen-2003"
"tt1385826","24500","2019-12-26T17:12:34.000Z","b'The Adjustment Bureau'","2011","the-adjustment-bureau-2011"
"tt0338459","7174","2019-12-26T17:11:30.000Z","b'Spy Kids 3-D: Game Over'","2003","spy-kids-3-d-game-over-2003"
"tt0116996","45","2019-12-26T17:11:07.000Z","b'Mars Attacks!'","1996","mars-attacks-1996"
"tt0448134","885","2019-12-26T17:10:26.000Z","b'Sunshine'","2007","sunshine-2007"
"tt0117218","4624","2019-12-26T17:10:11.000Z","b'The Nutty Professor'","1996","the-nutty-professor-1996"
"tt1533749","39288","2019-12-26T17:08:20.000Z","b'Shaolin'","2011","shaolin-2011"
"tt1155076","24931","2019-12-26T17:08:07.000Z","b'The Karate Kid'","2010","the-karate-kid-2010"
"tt0288045","5785","2019-12-26T17:07:59.000Z","b'The Medallion'","2003","the-medallion-2003"
"tt0327437","5416","2019-12-26T17:07:59.000Z","b'Around the World in 80 Days'","2004","around-the-world-in-80-days-2004"
"tt0068767","6785","2019-12-26T17:06:32.000Z","b'Fist of Fury'","1972","fist-of-fury-1972"
"tt0290095","5933","2019-12-26T17:05:43.000Z","b'The Tuxedo'","2002","the-tuxedo-2002"
"tt0114898","5063","2019-12-26T17:05:20.000Z","b'Waterworld'","1995","waterworld-1995"
"tt0120685","771","2019-12-26T17:04:57.000Z","b'Godzilla'","1998","godzilla-1998"
"tt0097523","4646","2019-12-26T17:04:31.000Z","b'Honey, I Shrunk the Kids'","1989","honey-i-shrunk-the-kids-1989"
"tt1104001","12601","2019-12-26T17:04:19.000Z","b'TRON: Legacy'","2010","tron-legacy-2010"
"tt0078346","1298","2019-12-26T17:04:03.000Z","b'Superman'","1978","superman-1978"
"tt4500922","217461","2019-12-26T17:03:48.000Z","b'Maze Runner: The Death Cure'","2018","maze-runner-the-death-cure-2018"
"tt4046784","190987","2019-12-26T17:03:25.000Z","b'Maze Runner: The Scorch Trials'","2015","maze-runner-the-scorch-trials-2015"
"tt2557478","167163","2019-12-26T17:03:03.000Z","b'Pacific Rim: Uprising'","2018","pacific-rim-uprising-2018"
"tt0472033","7146","2019-12-26T17:02:53.000Z","b'9'","2009","9-2009"
