certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
R,us,102.0,"['drama', 'romance', 'comedy']","{'trakt': 118, 'slug': 'lost-in-translation-2003', 'imdb': 'tt0335266', 'tmdb': 153}",en,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",7.68716,2003-09-18,Everyone wants to be found.,Lost in Translation,7189.0,2020-03-10T19:09:00.000Z,2003.0
R,us,137.0,"['action', 'science-fiction', 'drama', 'superhero']","{'trakt': 161972, 'slug': 'logan-2017', 'imdb': 'tt3315342', 'tmdb': 263115}",en,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",7.98986,2017-03-03,His time has come,Logan,54447.0,2020-03-09T20:25:00.000Z,2017.0
PG-13,us,106.0,"['action', 'adventure', 'comedy']","{'trakt': 4757, 'slug': 'charlie-s-angels-full-throttle-2003', 'imdb': 'tt0305357', 'tmdb': 9471}",en,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",5.80007,2003-06-27,This summer the Angels are back.,Charlie's Angels: Full Throttle,2811.0,2020-03-08T20:08:21.000Z,2003.0
PG-13,us,98.0,"['action', 'adventure', 'comedy', 'crime', 'thriller']","{'trakt': 2541, 'slug': 'charlie-s-angels-2000', 'imdb': 'tt0160127', 'tmdb': 4327}",en,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",6.12826,2000-11-02,Get Some Action,Charlie's Angels,4288.0,2020-03-08T20:08:12.000Z,2000.0
,us,108.0,"['drama', 'romance']","{'trakt': 221327, 'slug': 'all-the-bright-places-2020', 'imdb': 'tt3907584', 'tmdb': 342470}",en,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,7.0495,2020-02-28,Live life at full brightness,All the Bright Places,404.0,2020-03-08T19:59:00.000Z,2020.0
PG-13,us,98.0,"['science-fiction', 'drama']","{'trakt': 260312, 'slug': 'the-man-from-earth-holocene-2017', 'imdb': 'tt5770864', 'tmdb': 415312}",en,"14,000 year-old ""Man from Earth"" John Oldman, now teaching in northern California, realizes that not only is he finally starting to age, but four students have discovered his deepest secret, putting his life in grave danger and potentially destroying the world's most popular religion.",6.29698,2017-06-10,One must pay dearly for immortality,The Man from Earth: Holocene,596.0,2020-03-08T17:18:00.000Z,2017.0
PG-13,us,87.0,"['drama', 'science-fiction']","{'trakt': 7848, 'slug': 'the-man-from-earth-2007', 'imdb': 'tt0756683', 'tmdb': 13363}",en,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",7.97536,2007-06-10,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,The Man from Earth,4018.0,2020-03-08T15:46:00.000Z,2007.0
R,us,121.0,"['fantasy', 'horror', 'drama', 'superhero']","{'trakt': 442, 'slug': 'constantine-2005', 'imdb': 'tt0360486', 'tmdb': 561}",en,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",7.46659,2005-02-18,"Hell Wants Him, Heaven Won't Take Him, Earth Needs Him.",Constantine,10834.0,2020-03-07T19:08:00.000Z,2005.0
R,us,148.0,"['horror', 'drama', 'mystery']","{'trakt': 382491, 'slug': 'midsommar-2019', 'imdb': 'tt8772262', 'tmdb': 530385}",en,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",6.96644,2019-07-03,Let the festivities begin.,Midsommar,4500.0,2020-03-07T13:00:00.000Z,2019.0
,se,31.0,"['action', 'comedy', 'fantasy', 'science-fiction', 'short']","{'trakt': 152524, 'slug': 'kung-fury-2015', 'imdb': 'tt3472226', 'tmdb': 251516}",en,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer.  Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.",7.85014,2015-05-22,It takes a cop from the future to fight an enemy from the past.,Kung Fury,2916.0,2020-03-06T22:10:00.000Z,2015.0
NR,us,112.0,"['science-fiction', 'horror', 'thriller']","{'trakt': 273954, 'slug': 'the-endless-2018', 'imdb': 'tt3986820', 'tmdb': 430231}",en,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,6.79477,2018-04-06,,The Endless,1949.0,2020-03-04T20:29:00.000Z,2018.0
PG-13,us,112.0,"['science-fiction', 'mystery', 'thriller']","{'trakt': 24185, 'slug': 'super-8-2011', 'imdb': 'tt1650062', 'tmdb': 37686}",en,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",7.2204,2011-06-08,It Arrives.,Super 8,9528.0,2020-03-04T15:54:00.000Z,2011.0
PG-13,us,118.0,"['thriller', 'mystery', 'horror']","{'trakt': 250712, 'slug': 'insidious-the-last-key-2018', 'imdb': 'tt5726086', 'tmdb': 406563}",en,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",6.70217,2018-01-05,Fear comes home.,Insidious: The Last Key,4056.0,2020-03-03T17:35:00.000Z,2018.0
PG-13,us,97.0,"['horror', 'drama', 'thriller']","{'trakt': 177585, 'slug': 'insidious-chapter-3-2015', 'imdb': 'tt3195644', 'tmdb': 280092}",en,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",6.64839,2015-06-05,This is how you die,Insidious: Chapter 3,4468.0,2020-03-02T18:58:00.000Z,2015.0
PG-13,us,106.0,"['horror', 'thriller']","{'trakt': 67889, 'slug': 'insidious-chapter-2-2013', 'imdb': 'tt2226417', 'tmdb': 91586}",en,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,6.92396,2013-09-13,It will take what you love most.,Insidious: Chapter 2,5076.0,2020-03-01T19:10:00.000Z,2013.0
PG-13,us,103.0,"['horror', 'thriller']","{'trakt': 34068, 'slug': 'insidious-2010', 'imdb': 'tt1591095', 'tmdb': 49018}",en,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",7.15596,2011-04-01,It's not the house that's haunted.,Insidious,7348.0,2020-03-01T16:23:00.000Z,2010.0
PG-13,us,99.0,"['horror', 'thriller']","{'trakt': 216569, 'slug': 'ouija-origin-of-evil-2016', 'imdb': 'tt4361050', 'tmdb': 335796}",en,"In 1965 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their séance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.",6.7247,2016-10-21,"When you talk to the other side, you never know who will be listening.",Ouija: Origin of Evil,5859.0,2020-03-01T12:57:00.000Z,2016.0
R,us,100.0,"['horror', 'mystery', 'thriller']","{'trakt': 2306, 'slug': 'i-still-know-what-you-did-last-summer-1998', 'imdb': 'tt0130018', 'tmdb': 3600}",en,"Unfinished business with coed Julie James brings the murderer to the Bahamas to terrorize her and her friends, Karla, Tyrell and Will, during a vacation. Can Ray Bronson who survived a bloody attack alongside Julie two summers ago, get to the island in time to save everyone?",5.53236,1998-11-13,Someone is dying for a second chance.,I Still Know What You Did Last Summer,1437.0,2020-03-01T12:54:29.000Z,1998.0
PG-13,us,94.0,"['drama', 'science-fiction']","{'trakt': 138918, 'slug': 'the-giver-2014', 'imdb': 'tt0435651', 'tmdb': 227156}",en,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",6.9798,2014-08-11,Search for truth. Find freedom.,The Giver,5346.0,2020-02-29T15:52:00.000Z,2014.0
,us,87.0,"['science-fiction', 'mystery', 'drama', 'thriller']","{'trakt': 216627, 'slug': 'circle-2015', 'imdb': 'tt3118452', 'tmdb': 335866}",en,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",6.24867,2015-05-28,In here… everything gets you killed.,Circle,2067.0,2020-02-29T13:02:00.000Z,2015.0
R,us,110.0,"['horror', 'war', 'science-fiction']","{'trakt': 312112, 'slug': 'overlord-2018', 'imdb': 'tt4530422', 'tmdb': 438799}",en,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.",6.93516,2018-11-09,Stop the unstoppable,Overlord,5475.0,2020-02-26T19:47:00.000Z,2018.0
R,us,103.0,"['thriller', 'science-fiction', 'horror']","{'trakt': 238825, 'slug': 'life-2017', 'imdb': 'tt5442430', 'tmdb': 395992}",en,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",6.99186,2017-03-24,Be careful what you search for,Life,20400.0,2020-02-25T20:18:27.000Z,2017.0
R,us,91.0,"['horror', 'action', 'fantasy', 'drama']","{'trakt': 222674, 'slug': 'underworld-blood-wars-2016', 'imdb': 'tt3717252', 'tmdb': 346672}",en,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",7.12419,2017-01-06,Protect the Bloodline,Underworld: Blood Wars,14405.0,2020-02-24T20:25:37.000Z,2016.0
G,us,90.0,"['adventure', 'animation', 'fantasy', 'romance', 'family', 'musical']","{'trakt': 655, 'slug': 'aladdin-1992', 'imdb': 'tt0103639', 'tmdb': 812}",en,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",8.08792,1992-11-25,Wish granted!,Aladdin,19291.0,2020-02-23T22:08:44.000Z,1992.0
PG,us,108.0,"['adventure', 'comedy', 'family']","{'trakt': 6804, 'slug': 'lemony-snicket-s-a-series-of-unfortunate-events-2004', 'imdb': 'tt0339291', 'tmdb': 11774}",en,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.  This movie is extremely alarming, an expression which here means ""a thrilling misadventure involving three ingenious orphans and a villainous actor named Count Olaf (Jim Carrey) who wants their enormous fortune.""  It includes a suspicious fire, delicious pasta, Jim Carrey, poorly behaved looches, Billy Connolly, an incredibly deadly viper, Meryl Streep, and the voice of an imposter named Jude Law.",7.13395,2004-12-17,Mishaps. Misadventures. Mayhem. Oh Joy.,Lemony Snicket's A Series of Unfortunate Events,4651.0,2020-02-23T20:42:39.000Z,2004.0
PG,us,90.0,"['animation', 'family', 'adventure', 'comedy']","{'trakt': 4783, 'slug': 'kung-fu-panda-2008', 'imdb': 'tt0441773', 'tmdb': 9502}",en,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",7.62624,2008-06-05,Prepare for awesomeness.,Kung Fu Panda,14563.0,2020-02-23T20:42:16.000Z,2008.0
R,us,134.0,['drama'],"{'trakt': 304, 'slug': 'rain-man-1988', 'imdb': 'tt0095953', 'tmdb': 380}",en,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,8.06246,1988-12-11,A journey through understanding and fellowship.,Rain Man,7573.0,2020-02-23T19:58:52.000Z,1988.0
R,us,142.0,"['crime', 'drama']","{'trakt': 234, 'slug': 'the-shawshank-redemption-1994', 'imdb': 'tt0111161', 'tmdb': 278}",en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",9.17082,1994-10-14,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,30260.0,2020-02-16T19:29:57.000Z,1994.0
R,us,128.0,"['drama', 'crime', 'thriller']","{'trakt': 203309, 'slug': 'the-accountant-2016', 'imdb': 'tt2140479', 'tmdb': 302946}",en,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",7.79585,2016-10-14,Calculate your choices.,The Accountant,30668.0,2020-02-16T16:07:41.000Z,2016.0
PG,us,135.0,"['drama', 'science-fiction']","{'trakt': 683, 'slug': 'close-encounters-of-the-third-kind-1977', 'imdb': 'tt0075860', 'tmdb': 840}",en,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",7.73618,1977-12-25,We are not alone,Close Encounters of the Third Kind,4105.0,2020-02-15T20:27:44.000Z,1977.0
,us,102.0,"['horror', 'drama', 'thriller']","{'trakt': 371189, 'slug': 'in-the-tall-grass-2019', 'imdb': 'tt4687108', 'tmdb': 523139}",en,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth.",6.06447,2019-09-20,Something evil lies,In the Tall Grass,1908.0,2020-02-15T15:16:37.000Z,2019.0
R,us,134.0,"['horror', 'thriller', 'mystery']","{'trakt': 158947, 'slug': 'the-conjuring-2-2016', 'imdb': 'tt3065204', 'tmdb': 259693}",en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,7.53337,2016-06-10,The next true story from the case files of Ed and Lorraine Warren,The Conjuring 2,13336.0,2020-02-15T11:21:13.000Z,2016.0
R,us,89.0,['comedy'],"{'trakt': 6493, 'slug': 'not-another-teen-movie-2001', 'imdb': 'tt0277371', 'tmdb': 11397}",en,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movie genre.",6.20968,2001-12-07,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.,Not Another Teen Movie,1984.0,2020-02-09T01:00:00.000Z,2001.0
R,us,82.0,"['horror', 'thriller']","{'trakt': 228121, 'slug': 'hush-2016', 'imdb': 'tt5022702', 'tmdb': 376570}",en,A deaf woman is stalked by a psychotic killer in her secluded home.,7.08231,2016-03-12,Silence can be killer,Hush,5127.0,2020-02-08T16:26:11.000Z,2016.0
R,us,132.0,"['history', 'drama', 'comedy']","{'trakt': 312722, 'slug': 'vice-2018', 'imdb': 'tt6266538', 'tmdb': 429197}",en,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",7.24203,2018-12-25,The Untold True Story That Changed The Course Of History,Vice,4016.0,2020-02-08T13:11:10.000Z,2018.0
PG-13,us,152.0,"['drama', 'action']","{'trakt': 324762, 'slug': 'ford-v-ferrari-2019', 'imdb': 'tt1950186', 'tmdb': 359724}",en,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",8.21481,2019-11-15,They took the American dream for a ride,Ford v Ferrari,7132.0,2020-02-08T10:01:38.000Z,2019.0
,us,91.0,"['science-fiction', 'thriller']","{'trakt': 92356, 'slug': 'uncanny-2015', 'imdb': 'tt2321502', 'tmdb': 137333}",en,"For ten years, inventor David Kressen has lived in seclusion with his inventions, including Adam, a robot with incredible lifelike human qualities. When reporter Joy Andrews is given access to their unconventional facility, she is alternately repelled and attracted to the scientist and his creation. But as Adam exhibits emergent behavior of anger and jealousy towards her, she finds herself increasingly entangled in a web of deception where no one’s motives are easily decipherable.",6.61358,2015-01-31,Deception by design.,Uncanny,427.0,2020-02-07T21:00:00.000Z,2015.0
R,us,90.0,"['crime', 'drama', 'science-fiction', 'thriller']","{'trakt': 9994, 'slug': 'the-butterfly-effect-3-revelations-2009', 'imdb': 'tt1234541', 'tmdb': 16258}",en,"The story revolves around a man trying to uncover the mysterious death of his girlfriend and save an innocent man from the death chamber in the process, by using his unique power to time travel. However in attempting to do this, he also frees a spiteful serial-killer.",5.60754,2009-01-09,Death repeats itself.,The Butterfly Effect 3: Revelations,716.0,2020-02-07T19:28:14.000Z,2009.0
R,us,95.0,"['drama', 'science-fiction', 'thriller']","{'trakt': 8822, 'slug': 'the-butterfly-effect-2-2006', 'imdb': 'tt0457297', 'tmdb': 14620}",en,"After his girlfriend, Julie and two best friends are killed in a tragic auto accident, Nick struggles to cope with his loss and grief. Suffering from migraine-like seizures, Nick soon discovers that he has the power to change the past via his memories. However, his time-traveling attempts to alter the past and save his one true love have unexpected and dire consequences.",5.02476,2006-10-10,Can you change your past without destroying your future?,The Butterfly Effect 2,1131.0,2020-02-07T17:30:43.000Z,2006.0
R,us,107.0,"['thriller', 'crime', 'mystery', 'drama']","{'trakt': 238651, 'slug': 'wind-river-2017', 'imdb': 'tt5362988', 'tmdb': 395834}",en,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,7.74679,2017-08-04,Nothing is harder to track than the truth.,Wind River,12069.0,2020-02-06T19:40:08.000Z,2017.0
R,de,108.0,"['action', 'horror', 'mystery', 'science-fiction', 'thriller']","{'trakt': 12216, 'slug': 'pandorum-2009', 'imdb': 'tt1188729', 'tmdb': 19898}",en,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",7.0348,2009-09-08,Don't fear the end of the world. Fear what happens next.,Pandorum,3420.0,2020-02-06T17:18:27.000Z,2009.0
R,us,99.0,"['thriller', 'drama']","{'trakt': 162293, 'slug': 'knock-knock-2015', 'imdb': 'tt3605418', 'tmdb': 263472}",en,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",5.65053,2015-10-09,One night can cost you everything.,Knock Knock,4876.0,2020-02-06T06:41:38.000Z,2015.0
,fr,93.0,['comedy'],"{'trakt': 73814, 'slug': 'ducoboo-2-crazy-vacation-2012', 'imdb': 'tt2011961', 'tmdb': 103327}",fr,Ducobu goes on holiday in the south of France.,5.33333,2012-10-23,,Ducoboo 2: Crazy Vacation,51.0,2020-02-05T12:14:55.000Z,2012.0
,fr,96.0,['comedy'],"{'trakt': 50060, 'slug': 'ducoboo-2011', 'imdb': 'tt1810864', 'tmdb': 68637}",fr,"Ducoboo is a very inventive dunce and joker, he is very resourceful at finding new ways to copy from his neighbor, to cheat or to defy the teacher's authority.",5.15116,2011-10-23,,Ducoboo,86.0,2020-02-05T12:14:52.000Z,2011.0
PG-13,us,157.0,"['drama', 'history', 'musical']","{'trakt': 61868, 'slug': 'les-miserables-2012', 'imdb': 'tt1707386', 'tmdb': 82695}",en,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",7.68366,2012-12-25,Fight. Dream. Hope. Love.,Les Misérables,7122.0,2020-02-04T22:07:46.000Z,2012.0
,fr,110.0,"['adventure', 'comedy', 'family']","{'trakt': 71888, 'slug': 'asterix-obelix-god-save-britannia-2012', 'imdb': 'tt1597522', 'tmdb': 99770}",fr,Asterix crosses the channel to help second-cousin Anticlimax face down Julius Caesar and invading Romans.,5.57024,2012-10-17,,Asterix & Obelix: God Save Britannia,719.0,2020-02-04T22:07:17.000Z,2012.0
NR,be,116.0,"['adventure', 'comedy', 'fantasy', 'family']","{'trakt': 1685, 'slug': 'asterix-at-the-olympic-games-2008', 'imdb': 'tt0463872', 'tmdb': 2395}",fr,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina. Brutus uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar in the process.",5.63716,2008-01-30,,Asterix at the Olympic Games,915.0,2020-02-04T22:07:17.000Z,2008.0
,fr,109.0,"['adventure', 'comedy', 'fantasy', 'family']","{'trakt': 4842, 'slug': 'asterix-obelix-take-on-caesar-1999', 'imdb': 'tt0133385', 'tmdb': 9564}",fr,"Set in 50 B.C., Asterix and Obelix are living in a small but well-protected village in Gaul, where a magic potion concocted by Druids turns the townsfolk into mighty soldiers. When Roman troops carve a path through Gaul to reach the English Channel, Caesar and his aide de camp Detritus discover the secret elixir and capture the Druid leader who knows its formula, and Asterix and Obelix are sent off to rescue them.",6.18998,1999-02-01,The Gauls are revolting!,Asterix & Obelix Take on Caesar,1058.0,2020-02-04T22:07:14.000Z,1999.0
PG,fr,108.0,"['adventure', 'comedy', 'fantasy', 'family']","{'trakt': 1925, 'slug': 'asterix-obelix-mission-cleopatra-2002', 'imdb': 'tt0250223', 'tmdb': 2899}",fr,"The Egyptian Queen Cleopatra bets against the Roman Emperor, Julius Caesar, that her people are still great, even if the times of the Pharaohs has long passed. She vows (against all logic) to build a new palace for Caesar within three months. Since all her architects are either busy otherwise or too conservative in style, this ambivalent honor falls to Edifis. He is to build the palace and be covered in gold or, if not, his fate is to be eaten by crocodiles. Edifis calls upon an old friend to help him out: The fabulous Druid Getafix from Gaul, who brews a fantastic potion that gives supernatural strength. In order to help and protect the old Druid, Asterix and Obelix accompany him on his journey to Egypt. When Julius Caesar gets wind of the project succeeding, he has the building site attacked by his troops in order to win the bet and not lose face. But just like the local pirates, he hasn't counted on Asterix and Obelix.",7.4259,2002-03-21,,Asterix & Obelix: Mission Cleopatra,1815.0,2020-02-04T22:06:58.000Z,2002.0
PG,ch,96.0,"['drama', 'musical']","{'trakt': 3135, 'slug': 'the-chorus-2004', 'imdb': 'tt0372824', 'tmdb': 5528}",fr,"Set in 1940's France, a new teacher at a school for disruptive boys gives hope and inspiration.",8.04192,2004-03-17,,The Chorus,978.0,2020-02-04T22:06:36.000Z,2004.0
,us,94.0,"['science-fiction', 'thriller', 'horror']","{'trakt': 280371, 'slug': 'devil-s-gate-2017', 'imdb': 'tt4610748', 'tmdb': 355193}",en,"Set in the small town of Devil's Gate, North Dakota, the film examines the disappearance of a local woman and her young son. Schull plays an FBI agent who helps the local sheriff search for answers. Partnering with a deputy , they track down the missing woman's husband and find that nothing is as it seems.",6.20418,2017-04-24,,Devil's Gate,431.0,2020-02-04T20:46:24.000Z,2017.0
PG-13,us,106.0,"['action', 'mystery', 'thriller']","{'trakt': 42895, 'slug': 'abduction-2011', 'imdb': 'tt1600195', 'tmdb': 59965}",en,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,5.96308,2011-09-23,They stole his life. He's taking it back.,Abduction,2546.0,2020-02-04T20:44:08.000Z,2011.0
PG-13,us,83.0,['comedy'],"{'trakt': 2504, 'slug': 'scary-movie-4-2006', 'imdb': 'tt0362120', 'tmdb': 4257}",en,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",5.6222,2006-04-14,Bury the grudge. Burn the village.  See the saw.,Scary Movie 4,2901.0,2020-02-04T19:23:23.000Z,2006.0
R,us,101.0,"['mystery', 'science-fiction', 'thriller']","{'trakt': 842, 'slug': 'the-thirteenth-floor-1999', 'imdb': 'tt0139809', 'tmdb': 1090}",en,"Los Angeles. A wealthy man, known as Mr. Fuller, discovers a shocking secret about the world he lives in. Fearing for his life, he leaves a desperate message for a friend of his in the most unexpected place.",7.32353,1999-04-16,Question reality.,The Thirteenth Floor,1768.0,2020-02-04T18:57:00.000Z,1999.0
R,us,103.0,"['horror', 'mystery', 'science-fiction', 'thriller']","{'trakt': 43676, 'slug': 'the-thing-2011', 'imdb': 'tt0905372', 'tmdb': 60935}",en,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",6.6849,2011-10-14,It's Not Human. Yet.,The Thing,3437.0,2020-02-04T16:34:14.000Z,2011.0
R,us,152.0,['horror'],"{'trakt': 353053, 'slug': 'doctor-sleep-2019', 'imdb': 'tt5606664', 'tmdb': 501170}",en,"Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.",7.67437,2019-11-08,Dare to go back,Doctor Sleep,4026.0,2020-02-03T17:36:00.000Z,2019.0
R,us,121.0,"['action', 'adventure', 'science-fiction']","{'trakt': 56360, 'slug': 'mad-max-fury-road-2015', 'imdb': 'tt1392190', 'tmdb': 76341}",en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",7.94352,2015-05-15,What a Lovely Day.,Mad Max: Fury Road,36383.0,2020-02-02T20:06:53.000Z,2015.0
R,us,91.0,"['horror', 'thriller']","{'trakt': 788, 'slug': 'halloween-1978', 'imdb': 'tt0077651', 'tmdb': 948}",en,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.56084,1978-10-25,The Night He Came Home!,Halloween,5194.0,2020-01-29T22:21:29.000Z,1978.0
,us,66.0,"['music', 'documentary']","{'trakt': 11648, 'slug': 'nirvana-unplugged-in-new-york-1994', 'imdb': 'tt0365559', 'tmdb': 18942}",es,"MTV Unplugged in New York is a live album by the American grunge band Nirvana. It features an acoustic performance taped at Sony Music Studios in New York City on November 18, 1993 for the television series MTV Unplugged. As opposed to traditional practice on the television series, Nirvana played a setlist composed of mainly lesser-known material and cover versions of songs.  1. 	About A Girl  2. 	Come As You Are  3. 	Jesus Doesn't Want Me For A Sunbeam 4. 	The Man Who Sold The World 5. 	Pennyroyal Tea 6. 	Dumb 7. 	Polly 8. 	On A Plain 9. 	Something In The Way 10. 	Sweet Home Alabama 11. 	Plateau 12. 	Oh Me 13. 	Lake Of Fire 14. 	All Apologies 15. 	Where Did You Sleep Last Night",9.04196,1994-11-18,,Nirvana: Unplugged in New York,143.0,2020-01-29T22:19:16.000Z,1994.0
