certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
R,us,98,"['thriller', 'drama']","{'trakt': 209935, 'slug': 'money-monster-2016', 'imdb': 'tt2241351', 'tmdb': 303858}",en,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,7.2583,2016-05-13,Not every conspiracy is a theory.,Money Monster,9973.0,2019-01-20T20:06:36.000Z,2016
R,us,97,"['drama', 'comedy', 'romance', 'fantasy', 'adventure']","{'trakt': 223914, 'slug': 'swiss-army-man-2016', 'imdb': 'tt4034354', 'tmdb': 347031}",en,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",7.0588,2016-07-01,We all need somebody to lean on.,Swiss Army Man,6259.0,2019-01-19T20:49:14.000Z,2016
PG-13,us,96,['science-fiction'],"{'trakt': 280489, 'slug': 'io-2019', 'imdb': 'tt3256226', 'tmdb': 433249}",en,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",5.45868,2019-01-18,In the near future we must save Earth or leave it,IO,2638.0,2019-01-19T18:11:01.000Z,2019
R,us,109,"['action', 'drama', 'science-fiction', 'thriller']","{'trakt': 50137, 'slug': 'elysium-2013', 'imdb': 'tt1535108', 'tmdb': 68724}",en,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",6.97924,2013-08-09,He can save us all.,Elysium,17006.0,2019-01-19T18:10:42.000Z,2013
PG-13,fr,101,"['action', 'adventure', 'science-fiction', 'thriller']","{'trakt': 4670, 'slug': 'babylon-a-d-2008', 'imdb': 'tt0364970', 'tmdb': 9381}",en,A veteran-turned-mercenary  is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,6.16064,2008-08-29,Kill or be Killed.,Babylon A.D.,2571.0,2019-01-19T18:09:41.000Z,2008
,gb,92,['science-fiction'],"{'trakt': 296182, 'slug': 'the-beyond-2018', 'imdb': 'tt5723416', 'tmdb': 449575}",en,"Set in 2019, The Beyond chronicles the groundbreaking mission which sent astronauts - modified with advanced robotics, through a newly discovered wormhole known as the Void. When the mission returns unexpectedly, the space agency races to discover what the astronauts encountered on their first of its kind interstellar space journey.",6.18198,2018-01-09,"To find out place in the universe, we must venture beyond our boundaries.",The Beyond,1099.0,2019-01-13T22:17:10.000Z,2018
PG-13,us,107,"['drama', 'thriller', 'mystery']","{'trakt': 590, 'slug': 'the-sixth-sense-1999', 'imdb': 'tt0167404', 'tmdb': 745}",en,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see the ghosts of dead people.",8.19306,1999-08-06,Not every gift is a blessing.,The Sixth Sense,16223.0,2019-01-12T11:47:25.000Z,1999
PG-13,us,178,"['action', 'adventure', 'fantasy']","{'trakt': 88, 'slug': 'the-lord-of-the-rings-the-fellowship-of-the-ring-2001', 'imdb': 'tt0120737', 'tmdb': 120}",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.74845,2001-12-19,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,38787.0,2019-01-12T11:45:00.000Z,2001
PG-13,us,201,"['action', 'adventure', 'fantasy']","{'trakt': 90, 'slug': 'the-lord-of-the-rings-the-return-of-the-king-2003', 'imdb': 'tt0167260', 'tmdb': 122}",en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",8.8743,2003-12-17,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,34073.0,2019-01-12T11:44:57.000Z,2003
R,us,116,"['action', 'adventure', 'crime']","{'trakt': 1083, 'slug': 'speed-1994', 'imdb': 'tt0111257', 'tmdb': 1637}",en,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",7.40488,1994-06-09,Get ready for rush hour,Speed,6676.0,2019-01-08T20:33:44.000Z,1994
